condition,family,value,beta,gamma,alpha,n0,method,run_id,J_ref,J_gap_to_direct,relative_gap_to_direct,pmp_kkt_gap,kkt_mean,u_min,u_max,u_mean,terminal_total_N,terminal_mean_N
alpha_0p5,alpha,0.5,0.1,20.0,0.5,10.0,Neural-PMP [3],best,371.01306203391994,0.5001243068375061,0.0013498160412576286,13.948372436531997,0.04634307380239755,0.0,3.0,1.259803155756913,49.03523395231332,2.3350111405863485
alpha_0p5,alpha,0.5,0.1,20.0,0.5,10.0,constant u=1.5,constant,380.1817128443815,9.668775117299049,0.026095647770391712,76.11655521241597,0.13834617004044747,1.5,1.5,1.5,40.442006458141925,1.9258098313400918
alpha_2,alpha,2,0.1,20.0,2.0,10.0,direct reference,direct_n400,404.4058586095275,0.0,0.0,4.556180839357383,0.02459046284297918,0.0,3.0,1.4472738634588345,14.23687383728458,0.6779463732040276
alpha_2,alpha,2,0.1,20.0,2.0,10.0,Transformer,seed_0,404.5906193645932,0.18476075506566758,0.00045686963018026436,0.9124121855607545,0.013559196057047737,1.0310578237757848,2.8622770438395873,1.4543963750436533,14.784350026413616,0.7040166679244579
alpha_2,alpha,2,0.1,20.0,2.0,10.0,Transformer,seed_1,404.63611437702264,0.2302557674951231,0.0005693680311329146,0.8942556006435677,0.013307849565547014,1.0054462501500256,2.85176700464796,1.454860178699875,14.821833975054302,0.7058016178597286
alpha_2,alpha,2,0.1,20.0,2.0,10.0,Transformer,seed_2,404.5718788064384,0.16602019691089254,0.000410528664153682,0.946608971404801,0.01370521492204609,1.0296062534061008,2.8663294274925266,1.4541097204281241,14.785142288530956,0.7040543946919503
alpha_2,alpha,2,0.1,20.0,2.0,10.0,Neural-PMP [3],best,405.4048731689956,0.9990145594680939,0.002470326624107308,27.200394652443855,0.06072161027537013,0.0,3.0,1.4097797219184502,16.012984862890093,0.762523088709052
alpha_2,alpha,2,0.1,20.0,2.0,10.0,constant u=1.5,constant,440.84472253159436,36.438863922066844,0.09010468851107856,777.621971056981,0.2951940124645903,1.5,1.5,1.5,40.442006458141925,1.9258098313400918
n0_5,N0,5,0.1,20.0,1.0,5.0,direct reference,direct_n400,371.11844003018587,0.0,0.0,2.9835183163563035,0.018894772854171453,0.0,3.0,1.2972972972972974,25.578388276907592,1.218018489376552
n0_5,N0,5,0.1,20.0,1.0,5.0,Transformer,seed_0,371.20549783287964,0.08705780269377783,0.0002345822608186662,0.373921723172158,0.007717992955140572,1.0589528662879182,2.634276094653731,1.3079175468820874,26.25323835795093,1.2501542075214729
