sample,optimizer_seconds,elapsed_seconds,projected_gradient_linf,optimizer_nit,optimizer_nfev
49,10.217756988946348,14.630272977054119,1.1853851011878191e-06,130,135
50,9.948188503971323,14.36381577514112,1.8749920469574022e-06,130,133
51,10.490077764028683,15.017545029055327,3.811970639144846e-06,130,136
52,10.332403072156012,14.849121514940634,9.476005603525905e-07,130,135
53,10.442023548996076,15.208267888985574,7.88849721100604e-07,130,138
54,10.594592249952257,15.026170470984653,2.029224092980897e-06,130,136
55,10.363602967001498,15.005466963863,4.2883109374614037e-07,130,134
56,10.112876069033518,14.543992317980155,1.8526914493666169e-06,130,134
57,10.402073464123532,14.873016122030094,1.3004240223546404e-06,130,135
58,10.703533203108236,15.154483897145838,2.351267393785328e-06,130,144
59,10.422973660985008,14.925180170917884,1.5609877627165147e-06,130,136
60,13.783053884049878,18.339497779961675,6.142715225365691e-08,124,151
61,10.037636190187186,14.463580519892275,6.554550195936315e-07,130,132
62,10.15302450186573,14.680125470971689,1.1138424360623844e-06,130,136
63,10.052024315111339,14.546554983826354,2.5737408908543813e-06,130,134
64,10.297983735101297,14.733110364060849,1.7901689088883899e-06,130,137
65,10.089230034966022,14.561537530971691,1.6844650023717378e-06,130,134
66,10.266723891953006,14.729887238005176,6.527437264036706e-07,130,137
67,10.464222938986495,15.03846441488713,1.478239539776105e-06,130,136
68,10.269911024952307,14.749116364866495,1.1542866633629245e-06,130,136
69,10.183588315965608,14.650264152791351,2.6175294296493234e-06,130,133
70,10.46380460797809,14.92291168612428,7.303281133186346e-07,130,138
71,10.12559685506858,14.618542832089588,1.060303299382781e-06,130,136
72,10.269719118950889,14.727754049934447,1.4094447970958157e-06,130,137
73,10.322853445075452,14.80543283908628,2.289549182021844e-06,130,135
74,10.333784030051902,14.769497737986967,6.230961209219288e-07,130,136
75,10.2284842049703,14.761940548894927,2.571391060079975e-07,130,134
76,10.509372235974297,15.035785638028756,1.019462808837801e-06,130,139
77,10.280174664221704,14.759321017190814,3.0086643427740256e-06,130,136
78,10.457361434353516,15.01736440998502,1.3321750536032795e-06,130,139
79,10.361503863008693,14.832516608992592,1.963285432893258e-06,130,139
80,10.07653066702187,14.543365656165406,8.816331585007747e-07,130,135
81,10.649882378056645,15.249039478134364,3.805709454018924e-06,130,137
82,10.09612795105204,14.5208704858087,1.0160199623854282e-06,130,134
83,10.75780291017145,15.293523113941774,2.8551695216982864e-06,130,141
84,10.296841349918395,14.745431373128667,1.2339343073985987e-06,130,136
85,10.583574445918202,15.03999020298943,2.4310679014316605e-06,130,138
86,10.334276206092909,14.83689234405756,9.52006635523972e-07,130,136
87,10.049534089164808,14.598794314078987,1.358846015264703e-06,130,134
88,10.1468566050753,14.572394399903715,5.836539750392333e-07,130,136
89,10.312311406014487,14.830204261932522,1.689294127027452e-06,130,136
90,10.449650945840403,14.930108862929046,3.624260780377142e-07,130,136
91,10.442785130813718,14.911581358173862,1.4528942982039439e-06,130,135
92,10.075185555033386,14.55420259013772,6.954880474863145e-07,130,133
93,10.21513355197385,14.642926696920767,2.4296377554300363e-07,130,135
94,10.333958227885887,14.87169883097522,6.511398227271314e-07,130,138
95,10.540040272986516,15.294274920132011,2.0829054681037462e-07,130,137
96,10.53358598286286,14.998924882849678,3.583695877273918e-06,130,139
97,10.298811096930876,14.893243251135573,3.1846489281228685e-06,130,136
98,10.217090433929116,14.670562605839223,3.1880489680391477e-06,130,135
99,10.865806872025132,15.42237932793796,1.348893398978035e-06,130,138
100,10.741193260997534,15.233831911813468,3.721065114259403e-06,130,139
101,10.367707999190316,14.830684799002483,4.466303760608525e-06,130,136
102,10.318690521875396,14.799252431141213,1.920767632723752e-06,130,135
103,10.412473936099559,14.903819110943004,7.940342170442705e-07,130,139
104,10.522472342010587,15.00369496201165,2.7580134465132744e-07,130,136
105,10.682705668034032,15.154257585993037,2.0082481011485243e-07,130,138
106,10.524834847077727,14.973376628011465,3.2075508626938642e-06,130,139
107,10.545681302901357,15.06289563397877,7.265183933347075e-07,130,139
108,10.275747006991878,14.75207655900158,1.0035899371541035e-06,130,135
109,10.166412193793803,14.608635942917317,1.920433451485515e-06,130,134
110,10.38277777004987,14.917994264047593,8.742168234876502e-07,130,136
111,10.557265114039183,14.993452647002414,1.3877778587412237e-06,130,138
112,10.159033747157082,14.594696760177612,1.5142579854465765e-06,130,136
113,10.330828525824472,14.815360035048798,1.8173325579962096e-06,130,135
114,10.138331074034795,14.572783182840794,4.2689020063324534e-07,130,135
115,10.522513195872307,15.062943150987849,2.5822976679190646e-07,130,137
116,10.326577937230468,14.814952085027471,8.026377718017841e-07,130,136
117,10.431564291007817,14.967446624999866,9.060518588732691e-07,130,137
118,10.198101088870317,14.690038334811106,1.0461542694351067e-06,130,135
119,10.17361346213147,14.799812144832686,1.2837480107830146e-06,130,135
120,10.025764688150957,14.457998874830082,2.42201127442776e-06,130,134
121,10.038927905028686,14.517701507080346,3.826795375028169e-07,130,133
122,10.368029179982841,14.817924123024568,8.900838266434619e-07,130,137
123,10.755480661056936,15.255493683973327,2.406601035342959e-06,130,138
124,10.242473226040602,14.791423965012655,1.5839309484271674e-06,130,136
125,10.263005934888497,14.678807913092896,3.115289606503424e-06,130,137
126,10.06649525812827,14.557975108036771,4.061231917429353e-06,130,134
127,10.43839305290021,14.902607650030404,7.01412057546591e-07,130,137
