t,u,u_sing,psi,q,mean_N,total_N,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20
1.2,1.0439085541949078,0.9731654467764009,0.19345927166565957,0.0007664582454708471,4.1625462787165235,87.41347185304699,4.808667126635088,4.833774683656071,4.906348338218069,5.017764442415989,5.1526089479537855,5.287910583163548,5.393720047909165,5.436467876096438,5.3858628958132435,5.2240586715711395,4.953198102815525,4.596643071026437,4.192145170799007,3.7802708677285928,3.394077851331115,3.0541307121752443,2.768919596892278,2.5382231093450582,2.3569163555460593,2.217897491085465,2.113865910869661
1.25,1.0446837144369803,0.980553021657771,0.19802956923905057,0.0006099774153615379,4.150375665965612,87.15788898527785,4.841216149167359,4.867113771065095,4.941946935553763,5.056731067245745,5.195368562047717,5.333814101258897,5.440678781052909,5.480813402401674,5.422680384620718,5.2481112779083725,4.960223897724919,4.584471043526749,4.161080827026226,3.7326246341318505,3.3331988185169807,2.9834635742627693,2.6914035951213533,2.456068425239568,2.2716344393304087,2.13044387606694,2.0248014220078194
1.3,1.0456773105793538,0.9876498917139775,0.20184117967739823,0.000504187014587451,4.1393458438794735,86.92626272146894,4.874083518318489,4.900781824729159,4.97790578687462,5.096107001127755,5.2385959663219035,5.38023626347183,5.488173923270227,5.5256548185300725,5.459888347083029,5.272415147773077,4.967398545709728,4.572465343704374,4.130373620798152,3.6856974789270325,3.2735217406146466,2.9145335868728464,2.6161528614852227,2.3766625026404613,2.1895237354199883,2.046520941301498,1.9395697664948535
1.35,1.0468474180583769,0.994469296804129,0.2049512102360893,0.00043160824854077666,4.129366504497266,86.7166965944426,4.907193115895803,4.934702576914307,5.01414822847313,5.135815079016606,5.282213565516272,5.427099249688284,5.536127687828125,5.570914705256748,5.4974104106831545,5.2968963270052,4.9746523821791735,4.560561749023003,4.099963515501019,3.6394291189203893,3.2149794144095654,2.847259699437636,2.5430670791057217,2.299882646730194,2.1104382661281935,1.965960163468959,1.857981613261099
1.4000000000000001,1.0481580869445537,1.0010234572176508,0.20741276512900342,0.0003816448956672798,4.12035768882409,86.52751146530588,4.940478974929716,4.968809907061687,5.050607731402785,5.175788249650972,5.326153849872959,5.474335293439131,5.584472312090218,5.616525646521702,5.535180196836007,5.321490849680921,4.9819256996206684,4.548705895341381,4.069800152745338,3.5937687472999116,3.1575140170695115,2.7815703822914077,2.472055896099005,2.2256168585961276,2.034243691130582,1.88860571132808,1.77986140229776
1.45,1.0495784080921107,1.007323693075422,0.20927545024866845,0.00034771746491740513,4.112248396511838,86.3572163267486,4.973883965270604,5.003046529136058,5.087226593805241,5.215968275233806,5.370358103072701,5.521885396920575,5.633148775932199,5.662428944975673,5.573140025273187,5.346143422308947,4.989167403877189,4.536851901324764,4.039841446530103,3.548673603857655,3.1010756593071465,2.7174021654260696,2.4030374462842925,2.15376232956725,1.9608157659070151,1.814312860664123,1.7050457120740232
1.5,1.0510819279317245,1.0133805253457453,0.21058581024581358,0.00032567316576486875,4.10497541775951,86.20448377294971,5.007358686457304,5.037362885995974,5.123954839549247,5.256304636372684,5.414775314229027,5.569698248973174,5.6821057224228415,5.708573539840112,5.6112398218752,5.370806313994556,4.996333880472105,4.524961208466323,4.0100523996479245,3.5041077744506097,3.04562117439633,2.6546984188362672,2.3359371162231244,2.084224185784503,1.8900390537056064,1.7429466655771348,1.6333818856796645
1.55,1.0526462246622919,1.0192037650620047,0.21138770591924327,0.0003128776862334791,4.098482314998359,86.06812861496553,5.040860483324696,5.071716166138057,5.160749238218502,5.296753556894148,5.459361208182124,5.617729260165202,5.731298495363342,5.754915042918227,5.649436147982831,5.3954383737129366,5.003387995888605,4.5130015656241245,3.9804040750227707,3.460041155642606,2.9911130815707465,2.593408314942039,2.2706865005376007,2.0169144260598197,1.821805834960285,1.674380830782688,1.5647268610341947
1.6,1.0542525444080566,1.0248025938833367,0.21172263808198366,0.0003076832741652946,4.092718517417142,85.94708886575997,5.074352545182118,5.106069403611178,5.19757240714562,5.337277109097508,5.504077354547762,5.665939675429162,5.7806882543299,5.801414853889049,5.687691313128434,5.4200041376936285,5.01029819794315,4.500946123199211,3.9508726877515543,3.416448550528982,2.9375186896720993,2.5334859385838957,2.2072225105298946,1.9517510175786306,1.7560151783170785,1.6084967487784458,1.4989461688226502
1.6500000000000001,1.0558854515462486,1.0301856372575804,0.2116300233157915,0.00030911093748512157,4.087638510916735,85.84040872925144,5.107803074650592,5.1403906472073295,5.234391981651141,5.3778423856811175,5.5488903418355555,5.714295750639571,5.83024115365945,5.848039341330791,5.725972557547541,5.444473013018215,5.0170377008248135,4.488772621647093,3.92143880130772,3.3733088776995905,2.884809321383428,2.474889523347748,2.145486613442835,1.888657125588608,1.6925721484473533,1.5451826763074468,1.4359130720334865
1.7000000000000002,1.0575324797802954,1.0353610305803056,0.21114742670987852,0.0003166580592573061,4.083201115372175,85.74722342281568,5.141184524131152,5.174652196951808,5.2711798516495785,5.418420736697763,5.593771015189379,5.762767991813265,5.879927584040262,5.8947590878814236,5.764251302303785,5.468818534292983,5.0235837502542555,4.476462667956834,3.892086619416768,3.3306044825936,2.8329596451025196,2.417580799288459,2.0854241857430273,1.8275604590874848,1.6313871315866302,1.484333030234284,1.375507826600422
1.7500000000000002,1.0591837865752827,1.0403364784726832,0.2103107564758666,0.0003301814983110419,4.079368844417122,85.66674573275955,5.174472901730457,5.208829909782198,5.307911466687708,5.458987073849903,5.638693780306915,5.811330459643782,5.929721479373793,5.941548201845719,5.802502468568244,5.49301769369564,5.029916967346403,4.464001096577447,3.862803367751206,3.2883205430357583,2.781947104050371,2.3615244397445254,2.0269839665613905,1.768392717421255,1.5723752627748901,1.4258477861079304,1.3176170459040328
1.7999999999999998,1.0608318193894988,1.0451193073274045,0.20915442509260984,0.00034982723379871193,4.076107343315975,85.59825420963547,5.207647148153323,5.2429025759894525,5.344565211165357,5.499519244123306,5.683635975786809,5.859960141775867,5.979599691268167,5.9883836972469675,5.8407038672785205,5.517050344390372,5.036020769506978,4.451375411133515,3.8335787596496607,3.246444561068934,2.7317514328510795,2.30668759590985,1.9701175987176334,1.7110891242798514,1.5154559405905346,1.3696319646962958,1.2621331540529703
1.85,1.0624710023898034,1.0497165114090314,0.20771148131885298,0.0003759892047157057,4.073384899691188,85.54108289351495,5.240688584082482,5.276851365998146,5.381121849473873,5.539997472716876,5.728577314087047,5.908636393148849,6.029541431457288,6.0352449423021115,5.878835658480495,5.54089867554458,5.0418808651697145,4.438575302065423,3.8044045392433055,3.2049659328035385,2.6823542518615118,2.2530395082835053,1.914779245577058,1.6555880367091595,1.4605524165534816,1.3155951933588639,1.2089539145976427
