epoch,total_loss,opt_gap,singular_component,nonsingular_component,raw_singular_mse,raw_nonsingular_loss,smooth,objective,u_min,u_max,u_mean,final_mean_N,psi_mean_abs,q_mean,lr
11,8.079565540431883,8.079565529944553,0.0005734341714842842,8.078992095773069,0.0999390681367853,8.079109376791942,0.00010487330895309145,390.54326984346386,1.1288096472861235,1.8579816550507764,1.3882128206413582,1.3434840736643858,1.5527148986224673,0.024515075585173757,0.001
12,7.538329571647855,7.538329557421251,0.0003899165697978728,7.537939640851453,0.11279396018379712,7.538071141896584,0.0001422660427952312,390.06749706935517,1.1042146120641072,1.893105992971337,1.38105526919309,1.3024110894057377,1.4553957222243203,0.02305070956786624,0.001
13,6.2781415915081995,6.278141574050382,0.000574482589013288,6.2775670914613695,0.12792429948348105,6.277662768570666,0.00017457817383340475,389.56455838597105,1.08882348511115,1.9161242074436797,1.3788272144153069,1.2892824146234105,1.3586891065937166,0.018598013143048864,0.001
14,4.392574155475723,4.392574136019671,0.0007616330359766101,4.3918125029836945,0.14479189107210258,4.391903122459525,0.0001945605162642379,389.06289518988353,1.07930075791614,1.929395876661487,1.3818968816868369,1.2957371036706427,1.159019982137921,0.01851693358740477,0.001
15,2.9688163177057496,2.9688162975114416,0.002841921171772173,2.9659743763396698,0.16229195489547252,2.966452502918628,0.00020194307794213566,388.6701506509705,1.078768016646348,1.9348569630331112,1.3892749730978802,1.3188757964371953,0.8665299871755846,0.10668580011178042,0.001
16,2.8415984814593807,2.8415984608671643,0.004415027066956637,2.8371834338002078,0.17923634390126375,2.837626313449373,0.00020592216547808275,388.4626235032566,1.0831277795666228,1.9381567373821444,1.395426917176261,1.3638136471939475,0.8936381534679441,0.06800946926410896,0.001
17,3.3647356562344535,3.3647356343431842,0.009636644751239348,3.355098989591945,0.19588184578578227,3.3556023724450004,0.00021891269318914105,388.4202513738454,1.0827460010714496,1.9480902121275487,1.402919385829712,1.379191846710854,1.0248475053808284,0.0808408088241812,0.001
18,3.65853819983042,3.6585381756718007,0.002247353011608978,3.6562908226601913,0.21079965204581205,3.6567268122686203,0.00024158619087390448,388.39008657219574,1.0750491301382394,1.963137639819057,1.40884604035541,1.3691375625790263,1.0953475279107516,0.06626524361954131,0.001
19,3.4358165427191016,3.4358165151272972,0.011050337526867614,3.42476617760043,0.22314842905587334,3.424986480929805,0.0002759180434844432,388.2784121509258,1.0613026406468107,1.9816936503511269,1.4087138615420252,1.3500610034578355,1.0636834946318283,0.04457968807549528,0.001
20,2.9437013557350387,2.9437013234656066,0.0022453568282661657,2.941455966637341,0.23286461517288762,2.941608371025216,0.0003226943188605915,388.09884895147474,1.0432327757004285,2.002638128211167,1.401998939321011,1.327906817044851,0.9999899132126694,0.02881528629696575,0.001
21,2.732604095931302,2.732604059294763,0.002036870946801095,2.730567188347962,0.23897436956647305,2.7307042031732562,0.00036636538778794385,387.9767649488265,1.0318346454297909,2.0240397649112074,1.4003911129845257,1.273721180901675,0.9403804747188869,0.026116990001277436,0.001
22,2.8807811677434314,2.880781128071631,0.002853888372517449,2.877927239699113,0.23884599799771486,2.8780665378644654,0.00039671800504066673,387.89968737337756,1.0311243677151376,2.03739868480619,1.3981811059911127,1.2431700265787327,0.9104121748202986,0.02729194750664105,0.001
23,2.773426342550628,2.773426301113806,0.0037323920408803978,2.7696939090729256,0.23466933185983593,2.7698600501868835,0.0004143682199482447,387.81916644201084,1.0379309788859867,2.0439983717542076,1.3958142287813036,1.2347875002840731,0.8686737410674302,0.02891023607123554,0.001
24,2.292585000852911,2.292584958789754,0.006563331012476282,2.2860216277772776,0.22753397954627314,2.2862006801426626,0.00042063157151430136,387.72694962781554,1.0504151667975337,2.044958231121946,1.3940392230181655,1.2441523659784617,0.7974368304890295,0.03592692883150962,0.001
